日経平均,,,,,TOPIX,,,,CPI,東京市場　ドル・円　スポット　17時時点/月末,貸出約定平均金利（月次）,企業物価指数（月次）,,,,,,,,,,,,
日付,始値,高値,安値,終値,始値,高値,安値,終値,指数（2020年＝100）,1ドルにつき円,新規/総合/国内銀行,[国内企業物価指数] 総平均（前年比）,,,,,,,,,,,,
2026年1月,"51,010.28","54,487.32","50,995.67","53,322.85","3,448.77","3,674.71","3,448.77","3,566.32",112.9 ,153.8,1.404,2.3,,2026年1月,,,,,,,,,,
2025年12月,"50,318.59","51,127.69","48,643.78","50,339.48","3,380.02","3,436.75","3,327.02","3,408.97",113.0 ,155.98,1.139,2.4,,2025年12月,,,,,,,,,,
2025年11月,"52,294.31","52,636.87","48,235.30","50,253.91","3,327.11","3,389.12","3,200.08","3,378.44",113.2 ,156.32,1.272,2.7,,2025年11月,,,,,,,,,,
2025年10月,"44,831.95","52,411.34","44,357.65","52,411.34","3,122.68","3,348.06","3,072.20","3,331.83",112.8 ,154.31,1.415,2.7,,2025年10月,,,,,,,,,,
2025年9月,"42,362.71","45,852.75","41,835.17","44,932.63","3,060.99","3,205.63","3,042.59","3,137.60",112.0 ,148.07,1.149,2.8,,2025年9月,,,,,,,,,,
2025年8月,"41,029.84","43,876.42","39,850.52","42,718.47","2,944.45","3,130.46","2,886.00","3,075.18",112.1 ,147.01,1.28,2.6,,2025年8月,,,,,,,,,,
2025年7月,"40,340.64","42,065.83","39,288.90","41,069.82","2,848.88","2,986.63","2,801.71","2,943.07",111.9 ,149.39,1.201,2.5,,2025年7月,,,,,,,,,,
2025年6月,"37,651.18","40,852.54","37,320.72","40,487.39","2,783.94","2,869.07","2,743.64","2,852.84",111.7 ,144.13,1.089,2.8,,2025年6月,,,,,,,,,,
2025年5月,"36,197.04","38,494.06","36,040.05","37,965.10","2,670.39","2,814.70","2,659.05","2,801.57",111.8 ,144.04,1.195,3.1,,2025年5月,,,,,,,,,,
2025年4月,"35,961.19","36,075.26","30,792.74","36,045.38","2,689.77","2,697.33","2,243.21","2,667.29",111.5 ,142.81,1.262,3.9,,2025年4月,,,,,,,,,,
2025年3月,"37,617.50","38,220.69","35,541.72","35,617.56","2,711.03","2,821.90","2,620.35","2,658.73",111.1 ,149.14,1.022,4.3,,2025年3月,,,,,,,,,,
2025年2月,"38,932.66","39,581.47","36,840.12","37,155.50","2,748.62","2,789.29","2,668.74","2,682.09",110.8 ,150.44,1.047,4.3,,2025年2月,,,,,,,,,,
2025年1月,"39,945.42","40,288.80","38,055.68","39,572.49","2,792.10","2,796.99","2,650.07","2,788.66",111.2 ,154.66,1.132,4.2,,2025年1月,,,,,,,,,,
2024年12月,"38,216.95","40,398.23","37,958.55","39,894.54","2,687.65","2,811.71","2,681.21","2,784.92",110.7 ,157.89,0.868,4.1,,2024年12月,,,,,,,,,,
2024年11月,"38,504.35","39,884.01","37,801.62","38,208.03","2,659.92","2,770.16","2,638.30","2,680.71",110.0 ,149.99,0.887,3.9,,2024年11月,,,,,,,,,,
2024年10月,"38,232.47","40,257.34","37,651.07","39,081.25","2,661.65","2,752.04","2,605.71","2,695.51",109.5 ,152.25,0.951,3.8,,2024年10月,,,,,,,,,,
2024年9月,39025.31,39829.56,35247.87,37919.55,2734.04,2743.75,2508.2,2645.94,108.9 ,142.38,0.669,3.2,,2024年9月,,,,,,,,,,
2024年8月,38781.56,38781.56,31156.12,38647.75,2767.44,2768.22,2206.73,2712.63,109.1 ,144.94,0.794,2.7,,2024年8月,,,,,,,,,,
2024年7月,"39,839.82","42,426.77","37,611.19","39,101.82","2,831.63","2,946.60","2,695.45","2,794.26",108.6 ,150.91,0.88,3.3,,2024年7月,,,,,,,,,,
2024年6月,"38,734.95","39,788.63","37,950.20","39,583.08","2,791.68","2,821.86","2,692.52","2,809.63",108.2 ,160.93,0.573,2.8,,2024年6月,,,,,,,,,,
2024年5月,"38,107.38","39,437.16","37,617.00","38,487.90","2,727.92","2,785.68","2,696.05","2,772.49",108.1 ,157.15,0.83,2.6,,2024年5月,,,,,,,,,,
2024年4月,"40,646.70","40,697.22","36,733.06","38,405.66","2,782.19","2,784.30","2,598.45","2,743.17",107.7 ,156.86,0.844,1.2,,2024年4月,,,,,,,,,,
2024年3月,"39,254.69","41,087.75","38,271.38","40,369.44","2,676.97","2,820.45","2,617.90","2,768.62",107.2 ,151.34,0.683,1,,2024年3月,,,,,,,,,,
2024年2月,"36,008.56","39,426.29","35,854.63","39,166.19","2,533.10","2,692.30","2,527.17","2,675.73",106.9 ,149.68,0.696,0.8,,2024年2月,,,,,,,,,,
2024年1月,"33,193.05","36,984.51","32,693.18","36,286.71","2,359.28","2,565.89","2,335.58","2,551.10",106.9 ,147.66,0.72,0.3,,2024年1月,,,,,,,,,,
2023年12月,"33,537.44","33,824.06","32,205.38","33,464.17","2,385.23","2,389.36","2,295.51","2,366.39",106.8 ,141.4,0.564,0.3,,2023年12月,,,,,,,,,,
2023年11月,"31,311.22","33,853.46","31,301.51","33,486.89","2,285.84","2,404.99","2,284.32","2,374.93",106.9 ,147.06,0.703,0.6,,2023年11月,,,,,,,,,,
2023年10月,"32,101.97","32,533.08","30,487.67","30,858.85","2,338.51","2,355.98","2,196.95","2,253.72",107.1 ,150.29,0.883,1.2,,2023年10月,,,,,,,,,,
2023年9月,"32,521.15","33,634.31","31,674.42","31,857.62","2,328.60","2,438.02","2,315.83","2,323.39",106.2 ,148.77,0.601,2.4,,2023年9月,,,,,,,,,,
